 210.20 240.84 337.61 261.79 193.20 214.10  565.72 345.88 342.24 335.56
 218.40 249.58 567.03 294.17 222.16 246.39  950.35 558.62 549.71 542.71
 287.84 272.84 725.35 323.32 239.01 254.18  1213.95 704.95 693.34 675.65
 293.68 276.64 902.13 442.85 255.76 256.21  1508.41 881.42 861.10 842.18
 312.53 328.41 1058.43 448.08 351.44 268.66  1796.05 1060.24 1039.54 1016.50
 382.43 370.03 1222.67 469.53 368.95 270.86  2058.21 1207.89 1185.29 1155.61
 422.89 398.32 1312.21 550.52 384.54 281.42  2203.07 1296.30 1271.37 1243.28
 457.79 403.20 1398.23 570.77 392.33 287.49  2344.26 1362.88 1333.75 1323.39
 481.56 424.37 1487.53 589.16 395.79 289.12  2480.75 1451.68 1421.26 1420.56
 545.78 450.15 1577.84 612.06 417.32 291.48  2609.30 1559.10 1515.92 1514.75
 565.99 505.75 1667.52 654.42 428.94 294.72  2736.88 1639.25 1603.08 1594.56
 600.98 522.26 1752.17 668.18 459.03 297.45  2893.04 1740.73 1703.70 1703.18
 630.44 546.60 1845.49 675.12 476.59 301.75  3023.93 1821.68 1782.90 1782.97
 654.03 604.29 1929.21 706.75 489.89 337.89  3154.57 1902.12 1861.96 1861.49
 682.85 614.46 2016.29 728.48 506.11 358.72  3290.85 2001.86 1963.05 1954.18
 716.08 621.62 2098.86 754.31 531.37 380.82  3427.00 2071.95 2033.77 2027.32
 732.63 624.95 2149.19 772.04 535.35 384.22  3511.41 2115.91 2074.19 2080.71
 739.97 643.68 2197.37 783.83 548.36 394.26  3581.24 2159.13 2119.81 2127.88
 764.96 667.82 2247.37 803.47 554.89 399.69  3665.02 2208.71 2173.55 2197.85
 778.82 673.19 2294.63 816.99 568.84 405.88  3749.32 2260.99 2228.27 2259.85
 793.92 688.58 2342.23 842.34 577.54 409.37  3832.23 2323.80 2283.74 2329.68
 827.25 705.49 2391.02 856.91 579.08 413.71  3912.50 2370.42 2343.75 2390.52
 831.53 712.58 2443.78 861.43 598.87 419.10  4007.80 2440.04 2413.85 2449.92
 851.74 713.73 2495.35 870.97 608.38 441.66  4084.71 2495.95 2461.61 2514.22
 868.33 735.60 2546.89 877.19 620.72 523.42  4160.68 2551.31 2521.59 2566.47
 870.40 744.59 2597.35 896.46 643.81 535.78  4234.46 2597.85 2571.51 2636.58
 889.61 753.06 2650.64 912.70 647.26 549.68  4308.38 2652.39 2624.57 2697.91
 910.76 765.93 2701.36 919.06 647.80 571.97  4390.13 2707.90 2678.60 2764.34
 918.90 778.08 2753.82 925.71 661.34 666.65  4472.28 2763.69 2733.68 2823.87
 925.13 794.90 2804.70 928.29 722.08 732.59  4547.21 2824.26 2786.84 2880.88
