 200.17 174.11 247.85 171.57 136.35 150.18  425.56 339.53 325.44 325.44
 252.29 201.47 446.96 187.66 156.11 162.27  671.92 540.67 525.47 527.31
 291.34 239.82 565.34 259.02 167.48 171.55  818.37 679.47 662.60 670.33
 334.45 283.51 695.13 292.71 177.66 175.41  1018.51 841.31 817.92 829.68
 364.36 289.35 837.12 319.68 241.94 178.08  1205.86 1008.86 982.93 997.62
 384.93 301.21 977.94 336.61 254.06 182.08  1337.74 1147.36 1114.75 1136.88
 424.77 311.48 1039.92 376.33 268.77 184.04  1444.59 1223.16 1208.81 1215.75
 437.91 340.91 1099.48 387.44 292.38 190.34  1511.75 1276.11 1253.63 1280.56
 468.12 343.42 1176.42 415.60 304.98 192.21  1603.67 1355.20 1335.23 1360.20
 482.57 371.44 1241.02 433.17 318.77 193.59  1729.19 1443.32 1403.17 1427.61
 503.10 387.67 1304.02 449.89 327.08 202.53  1802.42 1515.71 1474.49 1495.88
 511.67 395.60 1394.82 460.94 336.84 204.68  1903.97 1603.99 1562.93 1587.32
 520.22 429.10 1501.11 482.23 338.62 207.63  2016.95 1676.56 1634.43 1659.56
 544.77 443.83 1559.47 497.88 349.99 218.75  2090.93 1746.58 1694.92 1718.62
 593.70 452.29 1621.30 528.20 351.34 255.89  2205.91 1836.98 1780.30 1820.64
 605.02 460.60 1691.31 537.76 377.19 259.77  2296.52 1900.17 1839.08 1910.13
 612.84 475.01 1730.21 542.04 393.61 264.05  2334.81 1933.40 1868.91 1960.71
 619.68 481.53 1762.15 560.93 403.14 265.99  2364.28 1961.18 1913.43 1992.21
 630.22 485.73 1801.12 566.35 414.94 272.00  2433.65 1990.99 1954.17 2038.46
 635.03 487.85 1837.00 573.22 421.32 274.53  2485.64 2038.43 1991.75 2077.05
 642.32 497.34 1901.15 582.36 430.53 276.58  2543.62 2086.25 2041.49 2132.02
 659.41 515.63 1934.68 589.84 434.63 281.84  2598.67 2133.59 2092.17 2189.69
 664.65 536.56 1970.54 600.43 442.58 287.25  2656.21 2184.91 2131.65 2250.97
 684.03 548.76 2009.74 606.71 443.25 293.01  2711.49 2234.68 2174.32 2295.59
 691.04 551.44 2073.88 629.65 450.34 361.68  2753.62 2273.00 2225.93 2330.31
 694.51 552.79 2105.74 632.61 453.60 368.08  2815.56 2315.22 2254.97 2358.08
 727.31 567.66 2141.30 640.96 465.55 380.06  2865.31 2352.21 2288.29 2390.90
 740.45 600.71 2187.86 644.72 468.42 384.80  2908.49 2397.32 2334.39 2441.91
 741.04 610.18 2252.33 656.97 469.54 433.30  3001.75 2444.81 2385.68 2492.56
 757.23 613.92 2285.22 673.71 546.49 474.93  3037.80 2494.02 2429.25 2536.66
