 33.53 33.85 38.35 68.94 96.74 152.82  61.23 41.17 51.76 43.90
 60.87 80.40 56.89 86.74 106.62 159.90  156.62 96.64 78.36 82.42
 79.80 86.56 103.00 95.19 111.89 162.49  250.81 201.23 114.49 135.65
 116.45 101.33 159.95 122.44 154.30 167.70  303.35 242.60 169.88 213.13
 121.89 126.45 179.20 146.61 159.43 171.65  364.99 334.76 188.64 315.01
 147.01 142.14 264.97 200.21 179.28 173.98  533.40 381.31 271.30 444.35
 170.72 151.98 335.33 208.67 223.82 177.58  641.44 420.31 343.77 561.34
 212.74 153.13 443.76 241.85 236.12 187.26  703.88 547.24 480.34 619.95
 219.28 189.57 462.32 275.52 256.73 189.27  752.89 682.16 535.65 640.71
 302.00 209.38 548.70 293.84 264.80 193.46  782.88 759.60 631.67 690.37
 304.05 218.23 577.17 314.85 290.68 197.47  881.69 837.54 676.11 718.54
 314.11 218.92 622.95 346.48 322.04 206.61  976.28 863.76 737.17 816.42
 319.62 252.86 665.66 369.98 333.41 210.69  1023.66 958.98 855.28 861.74
 330.09 283.40 687.32 386.55 345.23 215.02  1243.59 1053.54 991.15 1044.48
 363.51 303.60 739.69 420.64 349.05 243.22  1385.20 1112.61 1031.27 1098.66
 403.67 323.07 795.82 453.15 369.25 257.25  1440.99 1188.10 1077.77 1141.30
 424.60 332.81 822.73 499.76 384.45 261.14  1512.56 1238.46 1162.07 1191.49
 439.05 342.29 947.22 503.85 415.09 270.58  1612.59 1362.94 1218.94 1222.80
 452.98 349.20 1003.03 504.49 426.73 275.61  1746.70 1443.47 1383.70 1321.39
 482.71 365.81 1046.28 524.53 459.27 281.20  2047.45 1471.34 1503.88 1504.71
 505.17 381.53 1110.65 561.64 462.25 283.45  2216.58 1535.90 1619.99 1662.74
 554.50 384.86 1138.27 600.72 500.72 288.30  2356.44 1580.06 1658.73 1703.11
 567.70 402.46 1175.87 642.34 508.08 302.77  2422.03 1635.04 1717.24 1822.95
 601.99 413.17 1231.87 655.46 518.19 307.49  2518.46 1748.45 1893.37 1964.83
 635.98 450.77 1250.44 685.18 527.82 343.56  2600.04 1807.72 2008.31 2088.45
 695.91 463.36 1277.66 719.66 533.30 362.56  2660.99 1993.68 2036.27 2148.58
 710.72 494.45 1358.88 746.50 571.68 387.99  2812.91 2090.09 2075.98 2203.82
 714.31 534.10 1403.73 782.85 635.06 414.73  2972.27 2125.47 2180.35 2312.23
 782.35 583.68 1458.62 834.81 638.50 442.78  3008.27 2305.06 2234.98 2340.48
 854.72 617.66 1493.63 928.52 678.11 492.91  3065.62 2375.02 2424.33 2386.61
