 38.53 27.20 33.44 65.80 55.52 141.56  64.86 78.39 79.58 42.45
 58.80 52.21 54.15 71.33 60.12 146.88  117.14 117.50 124.42 71.55
 80.28 66.42 81.21 87.77 72.22 157.84  179.10 179.25 189.11 111.64
 82.07 71.85 104.56 103.48 77.25 166.28  214.10 217.85 223.67 173.15
 91.01 88.36 141.36 108.76 85.36 168.05  264.90 261.10 262.07 204.46
 112.11 90.43 163.29 120.94 91.30 176.59  326.02 308.92 305.97 237.84
 119.69 123.58 188.88 149.15 102.38 190.83  386.88 353.83 360.16 274.11
 123.05 140.14 217.08 152.89 110.63 191.26  450.89 395.20 396.83 319.98
 142.91 142.73 240.52 177.18 117.72 196.51  501.72 445.66 446.41 355.04
 143.97 146.96 277.25 180.37 135.85 204.98  539.90 487.24 486.85 397.12
 153.17 185.19 299.49 189.18 147.20 215.59  604.30 517.72 524.41 433.28
 160.89 194.24 320.23 197.64 152.03 220.19  654.09 552.61 562.97 493.20
 181.27 214.05 360.66 209.78 160.91 226.08  702.58 606.18 619.22 532.10
 217.50 227.85 409.17 232.64 190.51 244.65  758.82 651.57 667.95 583.56
 234.48 246.58 445.58 293.49 202.21 252.49  872.11 716.40 732.99 649.61
 265.16 258.01 488.62 299.44 224.08 262.08  971.18 787.93 799.94 715.44
 313.08 292.85 556.18 315.02 230.62 268.82  1107.29 879.93 893.20 808.91
 318.13 298.93 599.20 339.18 237.94 274.89  1248.67 975.65 991.91 900.87
 330.33 303.52 666.30 354.58 254.32 279.63  1341.04 1050.96 1057.25 964.75
 389.27 309.47 704.28 387.98 271.27 283.92  1432.56 1118.02 1120.59 1032.01
 402.16 351.17 774.34 407.00 277.47 286.02  1567.65 1203.28 1222.92 1151.42
 427.38 361.29 814.81 444.33 287.30 288.68  1701.14 1299.53 1311.75 1236.58
 455.67 392.31 861.99 489.56 295.15 289.12  1783.05 1371.58 1380.13 1309.19
 500.85 444.38 925.35 492.74 303.21 299.12  1868.60 1465.33 1462.21 1380.18
 535.23 501.32 1023.54 637.10 393.94 351.09  2063.80 1627.94 1623.40 1540.22
 607.71 536.70 1101.99 656.61 430.67 359.43  2227.90 1793.92 1789.05 1704.34
 620.56 574.54 1197.43 679.17 450.11 375.76  2469.14 1951.61 1940.15 1872.16
 656.45 596.19 1300.37 689.87 451.67 382.67  2671.14 2116.64 2106.14 2037.75
 712.15 620.00 1430.87 822.43 512.69 408.79  2969.10 2343.49 2332.55 2260.75
 794.62 684.69 1616.68 944.19 542.52 467.36  3393.41 2649.46 2649.65 2572.97
