 41.42 19.85 45.79 48.47 58.73 129.13  67.14 40.86 121.69 43.35
 81.35 45.59 72.48 61.87 76.48 137.71  174.34 122.08 158.71 65.07
 106.28 57.96 158.23 66.49 83.36 145.80  208.65 175.28 199.26 155.38
 124.00 71.33 176.84 88.81 84.98 151.13  229.65 269.24 286.48 187.88
 140.18 81.59 228.10 109.36 91.49 154.61  311.60 288.92 362.51 298.48
 163.92 87.93 246.65 121.12 100.61 158.44  359.35 361.60 380.21 337.63
 183.11 103.44 281.32 151.63 105.08 161.11  449.28 405.96 424.72 363.55
 201.19 110.65 326.20 154.71 125.06 165.05  471.25 437.07 459.92 408.56
 223.04 128.85 352.68 170.15 136.25 170.55  511.41 603.89 569.56 515.48
 245.17 140.17 397.18 193.04 136.99 174.18  556.80 715.63 611.44 558.06
 255.45 147.30 440.69 199.05 140.54 176.18  676.36 740.60 663.67 596.48
 259.51 164.42 459.25 208.65 149.42 191.38  786.20 853.25 897.73 633.40
 282.12 169.83 485.68 225.41 180.19 194.86  864.67 896.82 1012.29 689.93
 311.59 184.52 512.19 250.08 194.04 209.14  927.69 943.83 1046.39 799.91
 327.78 189.68 555.84 267.31 208.46 220.66  960.08 977.71 1073.21 859.43
 352.62 203.79 622.98 271.18 238.46 223.65  1047.02 1022.76 1108.86 908.44
 367.11 230.27 690.40 283.27 254.82 229.17  1220.36 1084.98 1133.90 947.73
 374.69 235.68 717.02 292.98 265.80 236.33  1272.06 1148.64 1309.21 1107.44
 395.67 260.44 768.96 306.33 275.38 241.12  1347.73 1184.81 1396.74 1228.99
 410.31 268.73 787.45 328.04 277.69 242.45  1443.67 1275.86 1499.22 1302.06
 422.87 276.46 865.54 338.66 294.16 244.76  1536.21 1363.47 1613.03 1343.91
 432.77 295.06 884.36 363.60 308.71 249.85  1573.84 1402.85 1666.70 1377.72
 452.55 309.24 911.29 373.79 314.62 250.90  1595.36 1535.31 1694.01 1551.30
 465.39 335.98 938.06 385.47 326.56 264.97  1647.02 1576.64 1747.04 1627.24
 491.10 341.81 989.70 394.34 329.99 312.08  1685.51 1687.02 1776.37 1731.33
 501.12 363.62 1033.75 411.87 342.30 319.66  1741.57 1882.74 1894.91 1849.64
 504.91 379.22 1052.63 425.45 365.23 327.55  1974.66 1987.26 1920.65 1898.39
 514.80 396.64 1079.15 433.86 375.10 341.61  2015.87 2033.15 1980.47 2094.05
 528.81 400.95 1107.78 458.09 402.75 381.63  2060.83 2077.27 2038.40 2138.38
 541.88 404.33 1134.65 489.62 434.19 403.68  2092.66 2135.73 2072.83 2178.27
