 132.18 124.65 81.27 88.73 99.68 211.94  111.37 74.39 151.81 102.26
 146.31 142.31 149.13 134.32 104.78 232.08  214.96 125.82 197.72 161.45
 148.73 158.59 254.01 136.96 118.43 238.90  380.11 171.80 255.16 272.47
 165.94 177.91 374.29 152.17 125.53 246.41  490.11 232.99 346.24 393.25
 173.23 192.38 425.14 177.77 133.64 254.43  561.68 275.70 471.26 452.80
 192.02 197.68 492.37 213.31 137.69 258.82  909.80 323.40 571.93 556.11
 213.15 221.82 613.15 223.71 150.57 261.97  1120.13 370.52 647.85 612.56
 227.70 268.41 683.15 257.18 188.35 269.80  1303.14 443.81 691.89 711.29
 229.99 325.06 752.21 311.67 208.48 280.22  1504.94 518.94 811.88 771.02
 337.62 372.46 801.83 319.54 263.39 281.21  1597.75 596.88 904.67 826.35
 349.06 399.01 867.39 332.07 288.96 284.40  2018.30 693.16 1001.65 901.61
 381.75 433.31 935.48 343.72 304.61 291.39  2110.11 761.99 1065.17 1093.98
 422.95 449.51 1035.78 377.45 309.94 297.81  2183.91 852.35 1267.28 1163.15
 437.08 486.61 1124.25 400.63 331.46 306.12  2284.68 983.62 1455.31 1226.05
 446.63 521.21 1235.22 456.41 369.82 353.71  2349.57 1073.70 1501.89 1333.41
 514.38 548.12 1315.15 496.59 381.65 382.77  2419.05 1269.23 1556.63 1404.73
 533.46 566.06 1445.94 520.05 398.18 383.63  2494.83 1395.55 1603.55 1550.25
 561.84 591.39 1564.45 566.51 423.23 392.60  2694.90 1490.32 1665.36 1625.97
 590.99 618.57 1615.37 626.91 444.69 393.72  2810.33 1685.00 1801.21 1784.35
 614.44 646.39 1686.50 659.36 451.29 397.70  2881.32 1744.14 1846.91 1856.27
 630.60 660.28 1739.07 700.80 487.43 401.77  3203.22 1848.47 1896.14 1926.33
 684.09 672.71 1843.51 731.85 497.28 408.55  3354.66 1999.49 1958.56 1989.08
 715.73 683.47 1908.39 747.27 531.40 420.88  3464.30 2118.59 2107.11 2115.40
 720.52 704.68 2114.14 821.84 545.46 437.61  3562.53 2311.19 2184.44 2348.59
 804.64 717.56 2257.73 851.56 567.22 509.41  3664.02 2422.19 2260.60 2405.75
 854.39 761.40 2324.75 881.49 585.75 523.80  3887.56 2470.23 2331.97 2476.98
 890.53 772.32 2378.46 892.71 613.66 563.10  3995.06 2531.93 2394.83 2605.87
 932.46 807.02 2451.85 950.93 666.25 577.09  4173.09 2590.31 2449.32 2668.67
 961.57 829.89 2668.02 965.05 749.45 659.94  4306.06 2639.73 2527.35 2781.47
 1045.55 911.83 2736.07 1000.69 791.76 726.67  4418.18 2714.62 2733.46 2853.00
