 100.51 71.01 66.88 80.73 115.42 210.25  123.39 69.74 91.61 97.47
 115.89 97.34 116.53 83.50 118.44 219.52  200.12 130.71 138.29 161.36
 127.06 114.02 169.26 112.90 124.68 235.18  293.99 182.76 193.67 234.38
 127.88 119.46 216.98 118.26 126.01 240.44  367.25 225.50 247.47 295.62
 134.04 131.53 269.58 125.71 128.93 243.19  440.63 270.44 296.74 355.30
 146.03 157.62 320.86 145.68 131.17 249.36  514.13 324.81 338.91 410.88
 150.62 169.17 375.31 168.79 135.12 255.30  615.50 391.57 395.09 490.57
 157.23 177.31 426.67 176.40 141.45 266.22  697.56 436.88 441.38 553.37
 161.03 185.43 479.74 186.90 148.50 269.42  776.70 485.36 488.09 605.79
 193.16 186.56 529.77 194.09 169.44 277.98  850.21 539.03 533.19 660.06
 195.41 190.22 582.07 199.58 197.95 281.90  926.82 590.19 587.00 715.83
 205.80 192.88 631.47 227.83 216.34 285.57  1011.09 647.35 642.35 773.75
 222.36 209.71 682.19 233.48 223.63 288.57  1084.08 705.70 705.94 836.82
 248.01 214.27 731.87 255.64 242.46 297.49  1159.25 761.78 758.07 901.73
 346.23 293.70 815.78 341.45 314.41 360.74  1298.03 841.59 837.98 982.39
 361.22 306.50 909.85 359.96 341.46 369.64  1432.99 940.55 914.83 1059.70
 377.35 327.59 993.88 369.72 341.81 376.73  1574.07 1045.68 1015.33 1160.43
 404.03 360.67 1084.82 371.42 345.84 377.62  1737.39 1128.79 1118.00 1264.85
 457.39 369.75 1168.01 399.96 352.01 396.22  1866.41 1210.73 1196.20 1345.04
 462.52 385.75 1252.60 460.14 357.83 400.98  1992.56 1298.04 1273.07 1423.30
 501.28 403.60 1340.36 499.89 389.47 406.53  2146.61 1406.35 1373.86 1522.35
 534.47 433.34 1426.92 521.65 409.33 412.47  2307.44 1490.51 1471.94 1628.27
 557.61 454.97 1513.12 534.64 437.25 417.76  2438.50 1566.75 1548.89 1709.53
 636.99 490.89 1601.72 557.72 449.68 437.60  2587.08 1670.25 1649.90 1813.25
 759.05 679.55 1773.64 750.24 632.83 532.02  2869.80 1842.20 1819.69 1984.26
 806.41 698.50 1935.61 781.07 662.93 536.21  3144.35 2017.17 1993.37 2157.65
 839.87 737.03 2106.39 791.41 671.68 552.72  3420.05 2187.40 2154.97 2320.35
 881.59 752.58 2268.80 805.02 684.29 560.74  3705.11 2365.18 2331.74 2497.04
 1042.62 850.61 2497.27 950.19 766.32 644.96  4103.44 2596.05 2567.10 2728.13
 1201.46 940.16 2818.53 1128.60 852.40 745.58  4648.23 2918.96 2890.34 3048.24
