 157.74 170.03 168.79 183.10 106.92 125.74  371.04 326.34 330.52 330.26
 181.31 173.95 275.12 184.55 133.61 139.72  615.42 525.77 529.89 527.45
 213.23 183.15 356.03 202.04 154.08 153.26  788.74 656.01 661.37 659.46
 249.86 185.36 430.82 271.53 162.89 158.84  962.64 810.63 812.68 816.80
 279.17 187.60 518.02 284.33 204.38 173.08  1150.44 978.55 980.48 981.85
 292.21 204.06 589.69 286.99 236.54 175.92  1314.63 1109.41 1106.71 1115.17
 324.45 233.02 637.23 336.60 253.06 188.75  1408.18 1186.97 1184.17 1206.92
 339.21 249.48 677.25 344.03 259.85 190.21  1484.23 1237.88 1235.45 1257.09
 381.45 255.49 716.36 355.59 267.98 190.88  1575.38 1312.48 1310.66 1331.65
 391.45 296.36 759.60 386.51 283.15 198.04  1668.35 1405.97 1398.25 1409.26
 417.44 302.83 801.26 400.99 295.95 200.50  1748.10 1471.23 1463.52 1481.29
 429.68 313.17 843.23 410.79 312.23 204.78  1845.98 1561.65 1550.63 1555.16
 460.21 335.25 885.78 414.39 316.51 207.46  1933.56 1626.12 1612.73 1614.76
 467.36 338.64 932.47 431.95 321.82 214.31  2012.97 1689.08 1675.20 1682.99
 506.38 361.92 971.78 461.95 326.17 228.66  2111.78 1784.36 1768.79 1774.21
 514.20 387.54 1013.56 468.99 331.21 236.20  2196.79 1845.44 1832.31 1837.56
 515.57 389.70 1039.26 479.70 354.73 254.53  2243.73 1876.64 1861.59 1881.47
 524.22 394.27 1064.05 482.60 360.12 260.39  2287.93 1905.77 1891.37 1918.68
 544.29 428.33 1087.50 496.53 362.20 266.26  2348.77 1940.25 1924.98 1951.47
 548.75 437.79 1110.80 522.50 369.46 267.99  2403.00 1980.59 1963.63 1992.83
 554.25 449.99 1134.49 525.68 379.11 272.69  2454.91 2032.69 2015.05 2047.63
 565.07 454.34 1158.32 535.97 388.87 273.26  2504.82 2076.25 2061.47 2093.06
 578.37 464.87 1185.00 539.21 397.54 280.43  2563.81 2124.66 2113.69 2136.68
 589.31 482.35 1209.61 544.30 404.52 295.16  2617.71 2164.67 2154.42 2172.41
 597.25 492.83 1232.57 557.47 407.75 354.52  2668.04 2209.30 2201.04 2211.04
 602.75 500.30 1256.31 563.01 420.44 361.41  2710.90 2246.44 2233.48 2244.88
 614.10 517.13 1279.80 567.12 427.66 367.37  2758.77 2284.72 2274.82 2282.75
 618.67 538.70 1303.41 571.76 432.72 378.07  2806.45 2325.41 2316.14 2323.38
 627.46 567.88 1328.23 576.06 433.48 415.99  2863.40 2370.51 2361.05 2367.19
 632.98 577.07 1351.74 584.16 481.36 466.90  2910.87 2418.43 2407.39 2417.48
